proposal_id,source_proposal_id,title,text,village,village_address,category,status,seed_assignees,visual_tags,has_audio
PROB-002,PROB-002,Digital Literacy Camp,"Need digital literacy classes in Nirmalgaon to help women self-help groups use smartphones, forms, and spreadsheets for records.",Nirmalgaon,Panchayat Hall,digital,pending,VOL-006;VOL-001,"[""digital literacy"",""education""]",false
PROB-002-01,PROB-002,Digital Literacy Camp #01,"Need digital literacy classes in Nirmalgaon to help women self-help groups use smartphones, forms, and spreadsheets for records. Variant 01. self-help group bookkeeping This request is centered in Lakshmipur.",Lakshmipur,Panchayat Hall - Block 01,infrastructure,completed,VOL-006;VOL-001,"[""digital literacy"",""education""]",false
PROB-002-02,PROB-002,Digital Literacy Camp #02,"Need digital literacy classes in Nirmalgaon to help women self-help groups use smartphones, forms, and spreadsheets for records. Variant 02. smartphone literacy This request is centered in Devnagar.",Devnagar,Panchayat Hall - Block 02,digital,pending,VOL-006;VOL-001,"[""digital literacy"",""education""]",false
PROB-002-03,PROB-002,Digital Literacy Camp #03,"Need digital literacy classes in Nirmalgaon to help women self-help groups use smartphones, forms, and spreadsheets for records. Variant 03. digital inclusion This request is centered in Riverbend.",Riverbend,Panchayat Hall - Block 03,others,pending,VOL-006;VOL-001,"[""others"",""riverbend""]",false
PROB-002-04,PROB-002,Digital Literacy Camp #04,"Need digital literacy classes in Nirmalgaon to help women self-help groups use smartphones, forms, and spreadsheets for records. Variant 04. self-help group bookkeeping This request is centered in Sundarpur.",Sundarpur,Panchayat Hall - Block 04,education,in_progress,VOL-006;VOL-001,"[""digital literacy"",""education""]",true
PROB-002-05,PROB-002,Digital Literacy Camp #05,"Need digital literacy classes in Nirmalgaon to help women self-help groups use smartphones, forms, and spreadsheets for records. Variant 05. smartphone literacy This request is centered in Nirmalgaon.",Nirmalgaon,Panchayat Hall - Block 05,health,completed,VOL-006;VOL-001,"[""digital literacy"",""education""]",false
PROB-002-06,PROB-002,Digital Literacy Camp #06,"Need digital literacy classes in Nirmalgaon to help women self-help groups use smartphones, forms, and spreadsheets for records. Variant 06. digital inclusion This request is centered in Lakshmipur.",Lakshmipur,Panchayat Hall - Block 06,infrastructure,pending,VOL-006;VOL-001,"[""infrastructure"",""lakshmipur""]",false
PROB-002-07,PROB-002,Digital Literacy Camp #07,"Need digital literacy classes in Nirmalgaon to help women self-help groups use smartphones, forms, and spreadsheets for records. Variant 07. self-help group bookkeeping This request is centered in Devnagar.",Devnagar,Panchayat Hall - Block 07,digital,pending,VOL-006;VOL-001,"[""digital literacy"",""education""]",false
PROB-002-08,PROB-002,Digital Literacy Camp #08,"Need digital literacy classes in Nirmalgaon to help women self-help groups use smartphones, forms, and spreadsheets for records. Variant 08. smartphone literacy This request is centered in Riverbend.",Riverbend,Panchayat Hall - Block 08,others,in_progress,VOL-006;VOL-001,"[""digital literacy"",""education""]",true
PROB-002-09,PROB-002,Digital Literacy Camp #09,"Need digital literacy classes in Nirmalgaon to help women self-help groups use smartphones, forms, and spreadsheets for records. Variant 09. digital inclusion This request is centered in Sundarpur.",Sundarpur,Panchayat Hall - Block 09,education,completed,VOL-006;VOL-001,"[""education"",""sundarpur""]",false
PROB-002-10,PROB-002,Digital Literacy Camp #10,"Need digital literacy classes in Nirmalgaon to help women self-help groups use smartphones, forms, and spreadsheets for records. Variant 10. self-help group bookkeeping This request is centered in Nirmalgaon.",Nirmalgaon,Panchayat Hall - Block 10,health,pending,VOL-006;VOL-001,"[""digital literacy"",""education""]",false
PROB-002-11,PROB-002,Digital Literacy Camp #11,"Need digital literacy classes in Nirmalgaon to help women self-help groups use smartphones, forms, and spreadsheets for records. Variant 11. smartphone literacy This request is centered in Lakshmipur.",Lakshmipur,Panchayat Hall - Block 11,infrastructure,pending,VOL-006;VOL-001,"[""digital literacy"",""education""]",false
PROB-003,PROB-003,Water Contamination Survey,"Villagers in Riverbend reported possible water contamination after heavy rain. A field survey, sample collection, and awareness visit are needed.",Riverbend,Ward 4 Riverbank,health,pending,VOL-005;VOL-004,"[""water pollution"",""sanitation issue""]",true
PROB-003-01,PROB-003,Water Contamination Survey #01,"Villagers in Riverbend reported possible water contamination after heavy rain. A field survey, sample collection, and awareness visit are needed. Variant 01. field survey This request is centered in Devnagar.",Devnagar,Ward 4 Riverbank - Block 01,digital,pending,VOL-005;VOL-004,"[""water pollution"",""sanitation issue""]",true
PROB-003-02,PROB-003,Water Contamination Survey #02,"Villagers in Riverbend reported possible water contamination after heavy rain. A field survey, sample collection, and awareness visit are needed. Variant 02. sanitation awareness This request is centered in Riverbend.",Riverbend,Ward 4 Riverbank - Block 02,others,pending,VOL-005;VOL-004,"[""water pollution"",""sanitation issue""]",true
PROB-003-03,PROB-003,Water Contamination Survey #03,"Villagers in Riverbend reported possible water contamination after heavy rain. A field survey, sample collection, and awareness visit are needed. Variant 03. water testing This request is centered in Sundarpur.",Sundarpur,Ward 4 Riverbank - Block 03,education,in_progress,VOL-005;VOL-004,"[""education"",""sundarpur""]",true
PROB-003-04,PROB-003,Water Contamination Survey #04,"Villagers in Riverbend reported possible water contamination after heavy rain. A field survey, sample collection, and awareness visit are needed. Variant 04. field survey This request is centered in Nirmalgaon.",Nirmalgaon,Ward 4 Riverbank - Block 04,health,completed,VOL-005;VOL-004,"[""water pollution"",""sanitation issue""]",true
PROB-003-05,PROB-003,Water Contamination Survey #05,"Villagers in Riverbend reported possible water contamination after heavy rain. A field survey, sample collection, and awareness visit are needed. Variant 05. sanitation awareness This request is centered in Lakshmipur.",Lakshmipur,Ward 4 Riverbank - Block 05,infrastructure,pending,VOL-005;VOL-004,"[""water pollution"",""sanitation issue""]",true
PROB-003-06,PROB-003,Water Contamination Survey #06,"Villagers in Riverbend reported possible water contamination after heavy rain. A field survey, sample collection, and awareness visit are needed. Variant 06. water testing This request is centered in Devnagar.",Devnagar,Ward 4 Riverbank - Block 06,digital,pending,VOL-005;VOL-004,"[""digital"",""devnagar""]",true
PROB-003-07,PROB-003,Water Contamination Survey #07,"Villagers in Riverbend reported possible water contamination after heavy rain. A field survey, sample collection, and awareness visit are needed. Variant 07. field survey This request is centered in Riverbend.",Riverbend,Ward 4 Riverbank - Block 07,others,in_progress,VOL-005;VOL-004,"[""water pollution"",""sanitation issue""]",true
PROB-003-08,PROB-003,Water Contamination Survey #08,"Villagers in Riverbend reported possible water contamination after heavy rain. A field survey, sample collection, and awareness visit are needed. Variant 08. sanitation awareness This request is centered in Sundarpur.",Sundarpur,Ward 4 Riverbank - Block 08,education,completed,VOL-005;VOL-004,"[""water pollution"",""sanitation issue""]",true
PROB-003-09,PROB-003,Water Contamination Survey #09,"Villagers in Riverbend reported possible water contamination after heavy rain. A field survey, sample collection, and awareness visit are needed. Variant 09. water testing This request is centered in Nirmalgaon.",Nirmalgaon,Ward 4 Riverbank - Block 09,health,pending,VOL-005;VOL-004,"[""health"",""nirmalgaon""]",true
PROB-003-10,PROB-003,Water Contamination Survey #10,"Villagers in Riverbend reported possible water contamination after heavy rain. A field survey, sample collection, and awareness visit are needed. Variant 10. field survey This request is centered in Lakshmipur.",Lakshmipur,Ward 4 Riverbank - Block 10,infrastructure,pending,VOL-005;VOL-004,"[""water pollution"",""sanitation issue""]",true
PROB-003-11,PROB-003,Water Contamination Survey #11,"Villagers in Riverbend reported possible water contamination after heavy rain. A field survey, sample collection, and awareness visit are needed. Variant 11. sanitation awareness This request is centered in Devnagar.",Devnagar,Ward 4 Riverbank - Block 11,digital,in_progress,VOL-005;VOL-004,"[""water pollution"",""sanitation issue""]",true
PROB-004,PROB-004,Drainage Repair Near Market,Main market lane in Devnagar has blocked drainage and damaged paving. Repair and de-silting work are required before monsoon flooding worsens.,Devnagar,Main Market Lane,infrastructure,completed,VOL-007,"[""drainage"",""road repair""]",false
PROB-004-01,PROB-004,Drainage Repair Near Market #01,Main market lane in Devnagar has blocked drainage and damaged paving. Repair and de-silting work are required before monsoon flooding worsens. Variant 01. road patching This request is centered in Riverbend.,Riverbend,Main Market Lane - Block 01,others,pending,VOL-007;VOL-002,"[""drainage"",""road repair""]",false
PROB-004-02,PROB-004,Drainage Repair Near Market #02,Main market lane in Devnagar has blocked drainage and damaged paving. Repair and de-silting work are required before monsoon flooding worsens. Variant 02. public market access This request is centered in Sundarpur.,Sundarpur,Main Market Lane - Block 02,education,in_progress,VOL-007;VOL-002,"[""drainage"",""road repair""]",false
PROB-004-03,PROB-004,Drainage Repair Near Market #03,Main market lane in Devnagar has blocked drainage and damaged paving. Repair and de-silting work are required before monsoon flooding worsens. Variant 03. monsoon drainage This request is centered in Nirmalgaon.,Nirmalgaon,Main Market Lane - Block 03,health,completed,VOL-007;VOL-002,"[""health"",""nirmalgaon""]",false
PROB-004-04,PROB-004,Drainage Repair Near Market #04,Main market lane in Devnagar has blocked drainage and damaged paving. Repair and de-silting work are required before monsoon flooding worsens. Variant 04. road patching This request is centered in Lakshmipur.,Lakshmipur,Main Market Lane - Block 04,infrastructure,pending,VOL-007;VOL-002,"[""drainage"",""road repair""]",true
PROB-004-05,PROB-004,Drainage Repair Near Market #05,Main market lane in Devnagar has blocked drainage and damaged paving. Repair and de-silting work are required before monsoon flooding worsens. Variant 05. public market access This request is centered in Devnagar.,Devnagar,Main Market Lane - Block 05,digital,pending,VOL-007;VOL-002,"[""drainage"",""road repair""]",false
PROB-004-06,PROB-004,Drainage Repair Near Market #06,Main market lane in Devnagar has blocked drainage and damaged paving. Repair and de-silting work are required before monsoon flooding worsens. Variant 06. monsoon drainage This request is centered in Riverbend.,Riverbend,Main Market Lane - Block 06,others,in_progress,VOL-007;VOL-002,"[""others"",""riverbend""]",false
PROB-004-07,PROB-004,Drainage Repair Near Market #07,Main market lane in Devnagar has blocked drainage and damaged paving. Repair and de-silting work are required before monsoon flooding worsens. Variant 07. road patching This request is centered in Sundarpur.,Sundarpur,Main Market Lane - Block 07,education,completed,VOL-007;VOL-002,"[""drainage"",""road repair""]",false
PROB-004-08,PROB-004,Drainage Repair Near Market #08,Main market lane in Devnagar has blocked drainage and damaged paving. Repair and de-silting work are required before monsoon flooding worsens. Variant 08. public market access This request is centered in Nirmalgaon.,Nirmalgaon,Main Market Lane - Block 08,health,pending,VOL-007;VOL-002,"[""drainage"",""road repair""]",true
PROB-004-09,PROB-004,Drainage Repair Near Market #09,Main market lane in Devnagar has blocked drainage and damaged paving. Repair and de-silting work are required before monsoon flooding worsens. Variant 09. monsoon drainage This request is centered in Lakshmipur.,Lakshmipur,Main Market Lane - Block 09,infrastructure,pending,VOL-007;VOL-002,"[""infrastructure"",""lakshmipur""]",false
PROB-004-10,PROB-004,Drainage Repair Near Market #10,Main market lane in Devnagar has blocked drainage and damaged paving. Repair and de-silting work are required before monsoon flooding worsens. Variant 10. road patching This request is centered in Devnagar.,Devnagar,Main Market Lane - Block 10,digital,in_progress,VOL-007;VOL-002,"[""drainage"",""road repair""]",false
PROB-004-11,PROB-004,Drainage Repair Near Market #11,Main market lane in Devnagar has blocked drainage and damaged paving. Repair and de-silting work are required before monsoon flooding worsens. Variant 11. public market access This request is centered in Riverbend.,Riverbend,Main Market Lane - Block 11,others,completed,VOL-007;VOL-002,"[""drainage"",""road repair""]",false
PROB-005,PROB-005,Irrigation Audit,"Farmers in Lakshmipur need an irrigation audit and advisory on drip system repair, soil testing, and water conservation planning.",Lakshmipur,South Fields,others,pending,VOL-008;VOL-006,"[""agriculture"",""irrigation""]",false
PROB-005-01,PROB-005,Irrigation Audit #01,"Farmers in Lakshmipur need an irrigation audit and advisory on drip system repair, soil testing, and water conservation planning. Variant 01. farm advisory This request is centered in Sundarpur.",Sundarpur,South Fields - Block 01,education,in_progress,VOL-008;VOL-006,"[""agriculture"",""irrigation""]",false
PROB-005-02,PROB-005,Irrigation Audit #02,"Farmers in Lakshmipur need an irrigation audit and advisory on drip system repair, soil testing, and water conservation planning. Variant 02. water conservation planning This request is centered in Nirmalgaon.",Nirmalgaon,South Fields - Block 02,health,completed,VOL-008;VOL-006,"[""agriculture"",""irrigation""]",false
PROB-005-03,PROB-005,Irrigation Audit #03,"Farmers in Lakshmipur need an irrigation audit and advisory on drip system repair, soil testing, and water conservation planning. Variant 03. irrigation audit This request is centered in Lakshmipur.",Lakshmipur,South Fields - Block 03,infrastructure,pending,VOL-008;VOL-006,"[""infrastructure"",""lakshmipur""]",false
PROB-005-04,PROB-005,Irrigation Audit #04,"Farmers in Lakshmipur need an irrigation audit and advisory on drip system repair, soil testing, and water conservation planning. Variant 04. farm advisory This request is centered in Devnagar.",Devnagar,South Fields - Block 04,digital,pending,VOL-008;VOL-006,"[""agriculture"",""irrigation""]",true
PROB-005-05,PROB-005,Irrigation Audit #05,"Farmers in Lakshmipur need an irrigation audit and advisory on drip system repair, soil testing, and water conservation planning. Variant 05. water conservation planning This request is centered in Riverbend.",Riverbend,South Fields - Block 05,others,in_progress,VOL-008;VOL-006,"[""agriculture"",""irrigation""]",false
PROB-005-06,PROB-005,Irrigation Audit #06,"Farmers in Lakshmipur need an irrigation audit and advisory on drip system repair, soil testing, and water conservation planning. Variant 06. irrigation audit This request is centered in Sundarpur.",Sundarpur,South Fields - Block 06,education,completed,VOL-008;VOL-006,"[""education"",""sundarpur""]",false
PROB-005-07,PROB-005,Irrigation Audit #07,"Farmers in Lakshmipur need an irrigation audit and advisory on drip system repair, soil testing, and water conservation planning. Variant 07. farm advisory This request is centered in Nirmalgaon.",Nirmalgaon,South Fields - Block 07,health,pending,VOL-008;VOL-006,"[""agriculture"",""irrigation""]",false
PROB-005-08,PROB-005,Irrigation Audit #08,"Farmers in Lakshmipur need an irrigation audit and advisory on drip system repair, soil testing, and water conservation planning. Variant 08. water conservation planning This request is centered in Lakshmipur.",Lakshmipur,South Fields - Block 08,infrastructure,pending,VOL-008;VOL-006,"[""agriculture"",""irrigation""]",true
PROB-005-09,PROB-005,Irrigation Audit #09,"Farmers in Lakshmipur need an irrigation audit and advisory on drip system repair, soil testing, and water conservation planning. Variant 09. irrigation audit This request is centered in Devnagar.",Devnagar,South Fields - Block 09,digital,in_progress,VOL-008;VOL-006,"[""digital"",""devnagar""]",false
PROB-005-10,PROB-005,Irrigation Audit #10,"Farmers in Lakshmipur need an irrigation audit and advisory on drip system repair, soil testing, and water conservation planning. Variant 10. farm advisory This request is centered in Riverbend.",Riverbend,South Fields - Block 10,others,completed,VOL-008;VOL-006,"[""agriculture"",""irrigation""]",false
PROB-005-11,PROB-005,Irrigation Audit #11,"Farmers in Lakshmipur need an irrigation audit and advisory on drip system repair, soil testing, and water conservation planning. Variant 11. water conservation planning This request is centered in Sundarpur.",Sundarpur,South Fields - Block 11,education,pending,VOL-008;VOL-006,"[""agriculture"",""irrigation""]",false
PROB-006,PROB-006,School WASH Inspection,"School WASH inspection in Sundarpur needs water quality assessment, sanitation review, and student hygiene awareness support.",Sundarpur,Government School,education,pending,VOL-005;VOL-004,"[""education"",""sanitation issue""]",false
PROB-006-01,PROB-006,School WASH Inspection #01,"School WASH inspection in Sundarpur needs water quality assessment, sanitation review, and student hygiene awareness support. Variant 01. hygiene awareness This request is centered in Nirmalgaon.",Nirmalgaon,Government School - Block 01,health,completed,VOL-005;VOL-004,"[""education"",""sanitation issue""]",false
PROB-006-02,PROB-006,School WASH Inspection #02,"School WASH inspection in Sundarpur needs water quality assessment, sanitation review, and student hygiene awareness support. Variant 02. safe drinking water This request is centered in Lakshmipur.",Lakshmipur,Government School - Block 02,infrastructure,pending,VOL-005;VOL-004,"[""education"",""sanitation issue""]",false
PROB-006-03,PROB-006,School WASH Inspection #03,"School WASH inspection in Sundarpur needs water quality assessment, sanitation review, and student hygiene awareness support. Variant 03. school wash inspection This request is centered in Devnagar.",Devnagar,Government School - Block 03,digital,pending,VOL-005;VOL-004,"[""digital"",""devnagar""]",false
PROB-006-04,PROB-006,School WASH Inspection #04,"School WASH inspection in Sundarpur needs water quality assessment, sanitation review, and student hygiene awareness support. Variant 04. hygiene awareness This request is centered in Riverbend.",Riverbend,Government School - Block 04,others,in_progress,VOL-005;VOL-004,"[""education"",""sanitation issue""]",true
PROB-006-05,PROB-006,School WASH Inspection #05,"School WASH inspection in Sundarpur needs water quality assessment, sanitation review, and student hygiene awareness support. Variant 05. safe drinking water This request is centered in Sundarpur.",Sundarpur,Government School - Block 05,education,completed,VOL-005;VOL-004,"[""education"",""sanitation issue""]",false
PROB-006-06,PROB-006,School WASH Inspection #06,"School WASH inspection in Sundarpur needs water quality assessment, sanitation review, and student hygiene awareness support. Variant 06. school wash inspection This request is centered in Nirmalgaon.",Nirmalgaon,Government School - Block 06,health,pending,VOL-005;VOL-004,"[""health"",""nirmalgaon""]",false
PROB-006-07,PROB-006,School WASH Inspection #07,"School WASH inspection in Sundarpur needs water quality assessment, sanitation review, and student hygiene awareness support. Variant 07. hygiene awareness This request is centered in Lakshmipur.",Lakshmipur,Government School - Block 07,infrastructure,pending,VOL-005;VOL-004,"[""education"",""sanitation issue""]",false
PROB-006-08,PROB-006,School WASH Inspection #08,"School WASH inspection in Sundarpur needs water quality assessment, sanitation review, and student hygiene awareness support. Variant 08. safe drinking water This request is centered in Devnagar.",Devnagar,Government School - Block 08,digital,in_progress,VOL-005;VOL-004,"[""education"",""sanitation issue""]",true
PROB-006-09,PROB-006,School WASH Inspection #09,"School WASH inspection in Sundarpur needs water quality assessment, sanitation review, and student hygiene awareness support. Variant 09. school wash inspection This request is centered in Riverbend.",Riverbend,Government School - Block 09,others,completed,VOL-005;VOL-004,"[""others"",""riverbend""]",false
PROB-006-10,PROB-006,School WASH Inspection #10,"School WASH inspection in Sundarpur needs water quality assessment, sanitation review, and student hygiene awareness support. Variant 10. hygiene awareness This request is centered in Sundarpur.",Sundarpur,Government School - Block 10,education,pending,VOL-005;VOL-004,"[""education"",""sanitation issue""]",false
PROB-006-11,PROB-006,School WASH Inspection #11,"School WASH inspection in Sundarpur needs water quality assessment, sanitation review, and student hygiene awareness support. Variant 11. safe drinking water This request is centered in Nirmalgaon.",Nirmalgaon,Government School - Block 11,health,pending,VOL-005;VOL-004,"[""education"",""sanitation issue""]",false
